Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
FC Augsburg,Schalke,Away,Away,3-3-4 A,4-3-3 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,75,75,75,29,71,1,4,7,17,,Away Wins,You won
Girona,Osasuna,Away,Away,3-3-2-2,4-4-2 B,Long ball,Zonal marking,Yes,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,85,79,79,45,55,0,1,6,8,Formation and Style of play were definitely not a match made in heaven. I should try something there!,Away Wins,You won
Bhayangkara,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,66,78,66,29,71,1,2,5,18,,Away Wins,You won
Blackpool,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Careful,No,No,Attack only,Stay in position,Defend deep,70,70,70,30,70,0,2,3,14,,Away Wins,You won
FC Augsburg,Schalke,Away,Away,3-3-4 A,4-3-3 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,64,75,75,30,70,0,7,6,16,"The fans are loving this, three points and dominating possession. Nice!",Away Wins,You won
Osasuna,Espanyol,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Normal,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,65,35,5,0,18,4,,Home Wins,You Won
PSIS,Persita,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Normal,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,66,34,6,0,17,3,,Home Wins,You Won
Swansea,Blackburn Rovers,Away,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Careful,Wing play,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,65,78,66,44,56,0,3,12,14,That Style of play really linked with the Formation. Good combination if you ask me!,Away Wins,You lost
Schalke,1. FC Köln,Home,Home,4-3-3 B,4-3-3 A,Wing play,Zonal marking,Yes,Aggresive,Passing game,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,60,40,2,1,11,9,,Home Wins,You Won
Real Madrid,Osasuna,Away,Away,4-4-2 B,4-3-3 B,Wing play,Man marking,No,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,58,67,58,39,61,0,4,10,14,That Style of play really linked with the Formation. Good combination if you ask me!,Away Wins,You won
Madura United,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Defend deep,66,67,78,30,70,0,4,2,20,,Away Wins,You won
Sheffield United,Swansea,Away,Away,5-3-1-1,4-4-2 B,Shoot on sight,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,65,72,65,30,70,0,3,4,11,,Away Wins,You won
Eintracht Frankfurt,Schalke,Away,Away,5-4-1 A,4-4-2 B,Shoot on sight,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,65,72,65,30,70,0,5,6,17,,Away Wins,You won
Osasuna,Sevilla,Home,Home,4-4-2 B,4-3-3 B,Passing game,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Reckless,No,No,Attack only,Stay in position,Defend deep,75,75,75,64,36,4,1,14,7,,Home Wins,You Won
PSIS,Rans,Equal,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,75,75,75,60,40,0,0,10,5,"This is the way it should be in my opinion, an attacking Style against an opponent with less quality!",Draw,Draw
